Name,Symbol,Platform,ContractAddress,
WOO,WOO,Ethereum,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,
0x Protocol,ZRX,Ethereum,0xe41d2489571d322189246dafa5ebde1f4699f498,
Tether Gold,XAUt,Ethereum,0x68749665FF8D2d112Fa859AA293F07A622782F38,
DeXe,DEXE,Ethereum,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,
GMT,GMT,Ethereum,0xe3c408bd53c31c085a1746af401a4042954ff740,
ether.fi,ETHFI,Ethereum,0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB,
Memecoin,MEME,Ethereum,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,
Echelon Prime,PRIME,Ethereum,0xb23d80f5fefcddaa212212f028021b41ded428cf,
Aevo,AEVO,Ethereum,0xB528edBef013aff855ac3c50b381f253aF13b997,
Arkham,ARKM,Ethereum,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,
Ankr,ANKR,Ethereum,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,
ZetaChain,ZETA,Ethereum,0xf091867ec603a6628ed83d274e835539d82e9cc8,
dYdX (ethDYDX),ETHDYDX,Ethereum,0x92d6c1e31e14520e676a687f0a93788b716beff5,
PAX Gold,PAXG,Ethereum,0x45804880de22913dafe09f4980848ece6ecbaf78,
SPACE ID,ID,Ethereum,0x2dfF88A56767223A5529eA5960Da7A3F5f766406,
Golem,GLM,Ethereum,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,
Basic Attention Token,BAT,Ethereum,0x0d8775f648430679a709e98d2b0cb6250d2887ef,
TrueUSD,TUSD,Ethereum,0x0000000000085d4780B73119b644AE5ecd22b376,
PayPal USD,PYUSD,Ethereum,0x6c3ea9036406852006290770bedfcaba0e23a0e8,
OriginTrail,TRAC,Ethereum,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,
SushiSwap,SUSHI,Ethereum,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,
Altlayer,ALT,Ethereum,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,
yearn.finance,YFI,Ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,
SKALE,SKL,Ethereum,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,
Zeebu,ZBU,Ethereum,0xe77f6aCD24185e149e329C1C0F479201b9Ec2f4B,
Fellaz,FLZ,Ethereum,0x8e964e35a76103af4c7d7318e1b1a82c682ae296,
SPX6900,SPX,Ethereum,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,
Frax,FRAX,Ethereum,0x853d955acef822db058eb8505911ed77f175b99e,
Chintai,CHEX,Ethereum,0x9Ce84F6A69986a83d92C324df10bC8E64771030f,
Telcoin,TEL,Ethereum,0x467bccd9d29f223bce8043b84e8c8b282827790f,
Across Protocol,ACX,Ethereum,0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,
PepeCoin,PEPECOIN,Ethereum,0xA9E8aCf069C58aEc8825542845Fd754e41a9489A,
Destra Network,DSYNC,Ethereum,0xf94e7d0710709388bce3161c32b4eea56d3f91cc,
Orbler,ORBR,Ethereum,0xdA30f261a962d5AAe94C9ecd170544600d193766,
Ondo US Dollar Yield,USDY,Ethereum,0x96f6ef951840721adbf46ac996b59e0235cb985c,
Mask Network,MASK,Ethereum,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,
Loopring,LRC,Ethereum,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,
Aethir,ATH,Ethereum,0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,
Biconomy,BICO,Ethereum,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,
Metis,METIS,Ethereum,0x9E32b13ce7f2E80A01932B42553652E053D6ed8e,
ConstitutionDAO,PEOPLE,Ethereum,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,
Frax Share,FXS,Ethereum,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,
Threshold,T,Ethereum,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,
ssv.network,SSV,Ethereum,0x9D65fF81a3c488d585bBfb0Bfe3c7707c7917f54,
MX Token,MX,Ethereum,0x11eef04c884e24d9b7b4760e7476d06ddf797f36,
SwissBorg,BORG,Ethereum,0x64d0f55cd8c7133a9d7102b13987235f486f2224,
Rocket Pool,RPL,Ethereum,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,
Illuvium,ILV,Ethereum,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,
0x0.ai,0x0,Ethereum,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,
XYO,XYO,Ethereum,0x55296f69f40ea6d20e478533c15a6b08b654e758,
Band Protocol,BAND,Ethereum,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,
Tribe,TRIBE,Ethereum,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,
Yield Guild Games,YGG,Ethereum,0x25f8087ead173b73d6e8b84329989a8eea16cf73,
Pixels,PIXEL,Ethereum,0x3429d03c6F7521AeC737a0BBF2E5ddcef2C3Ae31,
PAAL AI,PAAL,Ethereum,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,
Rollbit Coin,RLB,Ethereum,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,
UMA,UMA,Ethereum,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,
Avail,AVAIL,Ethereum,0xEeB4d8400AEefafC1B2953e0094134A887C76Bd8,
