2025-08-11 07:54:10 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:01:49 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:49 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:49 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:51 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:01 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:03 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:03 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:03 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:12 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:15 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:15 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:02:15 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:13:41 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 9 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:24:59 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 9 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:01 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 08:25:39 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 16 in EUR, using default values
