2025-08-01 10:47:55 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:47:55 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:47:55 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:48:13 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:48:13 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:48:13 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:50:51 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:50:51 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 10:50:51 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-01 11:21:44 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
