2025-07-23 12:46:49 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-23 12:46:49 - price_service - INFO - Initializing price service module
2025-07-23 12:46:50 - price_service - INFO - Initializing price service module
2025-07-23 12:48:13 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 12:48:13 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 12:48:13 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 12:49:42 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 12:49:42 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 12:49:42 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 12:49:42 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 12:49:42 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 12:49:42 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 12:49:43 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 12:49:43 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 12:49:43 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:11:50 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 13:11:50 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 13:11:50 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:22:00 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-23 13:22:00 - price_service - INFO - Initializing price service module
2025-07-23 13:22:01 - price_service - INFO - Initializing price service module
2025-07-23 13:22:21 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 13:22:21 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 13:22:21 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:22:22 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 13:22:22 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 13:22:22 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:22:22 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 13:22:22 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 13:22:22 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:22:33 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 13:22:33 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 13:22:33 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:32:44 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-23 13:32:44 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-23 13:32:44 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-23 13:32:45 - price_service - WARNING - No price record found for 1 in IRR, using default values
