2025-07-29 21:23:54 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:23:54 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:23:54 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:29:28 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:29:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:29:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:33:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:33:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-29 21:33:25 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 00:03:22 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-30 10:54:51 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
