2025-07-24 01:06:30 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-24 01:06:30 - price_service - INFO - Initializing price service module
2025-07-24 01:06:31 - price_service - INFO - Initializing price service module
2025-07-24 01:14:30 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 01:14:30 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 01:14:30 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 01:14:32 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 01:14:32 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 01:14:32 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 01:14:32 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 01:14:32 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 01:14:32 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 08:09:10 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-24 08:09:10 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-24 08:09:10 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-24 08:09:10 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-24 08:09:10 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-24 08:09:10 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-24 08:55:08 - price_service - ERROR - Price update failed after 0.01 seconds
2025-07-24 09:26:53 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 09:26:53 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 09:26:53 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 09:26:54 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 09:26:54 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 09:26:54 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 09:26:56 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 09:26:56 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 09:26:56 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 10:17:49 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 10:17:49 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 10:17:49 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 10:18:36 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-24 10:18:36 - price_service - INFO - Initializing price service module
2025-07-24 10:18:37 - price_service - INFO - Initializing price service module
2025-07-24 10:35:41 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 10:35:41 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 10:35:41 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 10:43:35 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 10:43:35 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 10:43:35 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 10:43:35 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 10:43:35 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 10:43:35 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 11:00:48 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 11:00:48 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 11:00:48 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 11:00:51 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 11:00:51 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 11:00:51 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 11:18:09 - price_service - ERROR - Price update failed after 0.00 seconds
2025-07-24 11:56:10 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 11:56:10 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 11:56:10 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 11:56:30 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 11:56:30 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 11:56:30 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 11:56:31 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 11:56:31 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 11:56:31 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 12:07:46 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 12:07:46 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 12:07:46 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 12:07:47 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 12:07:47 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 12:07:47 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 12:07:48 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 12:07:48 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 12:07:48 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 12:07:51 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 12:07:51 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 12:07:51 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 13:27:33 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 13:27:33 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 13:27:33 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 13:27:34 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 13:27:34 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 13:27:34 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 13:37:08 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 13:37:08 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 13:37:08 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 13:37:09 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 13:37:09 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 13:37:09 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 13:37:09 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 13:37:09 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 13:37:09 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 14:52:02 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 14:52:02 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 14:52:02 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 14:52:03 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 14:52:03 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 14:52:03 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 14:52:03 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 14:52:03 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 14:52:03 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-24 15:38:03 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-24 15:40:44 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-07-24 15:40:44 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-07-24 15:40:44 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-07-24 15:40:44 - price_service - WARNING - No price record found for 1 in IRR, using default values
